species,pu,amount
4,47115,60488.4
17,47115,23161.0
18,47115,1805656.1
19,47115,6183.8
20,47115,7645.4
1,26007,58057.2
2,26007,485455.1
22,26007,1238553.9
1,21231,470.7
4,21231,9296.8
17,21231,57546.0
18,21231,1538562.4
20,21231,4001.2
21,21231,5531.0
1,47185,661.5
4,47185,926.1
17,47185,5953.2
18,47185,913884.3
19,47185,3175.0
18,48147,686875.8
20,48147,35350.2
17,20043,675.6
18,20043,89100.6
20,20043,16806.6
21,20043,40792.0
4,48265,116682.8
17,48265,716136.6
18,48265,914.2
19,48265,17660.3
20,48265,24184.3
3,12053,373337.5
4,12053,54328.4
17,12053,509839.5
18,12053,317949.8
19,12053,157385.9
27,12053,2270.0
28,12053,1816.0
3,12129,1876520.3
4,12129,10872.7
17,12129,66380.9
18,12129,81602.8
19,12129,395309.9
20,12129,12703.9
27,12129,60658.4
3,12131,1291686.8
4,12131,724341.4
17,12131,426316.6
18,12131,559592.5
19,12131,399181.5
21,12131,646.1
3,28017,112.5
4,28017,424844.8
5,28017,1575.2
17,28017,67282.1
18,28017,425182.3
19,28017,55130.8
20,28017,30378.2
1,26035,311250.0
2,26035,108083.1
22,26035,1397532.5
5,20157,1001.5
18,20157,21468.8
20,20157,40246.3
21,20157,13019.0
3,12127,2478126.0
4,12127,52524.6
17,12127,238636.2
18,12127,101727.9
19,12127,844944.3
20,12127,78110.3
27,12127,98898.7
28,12127,615.0
18,40017,113615.1
19,40017,677.2
20,40017,7489.4
21,40017,79.7
4,13115,373433.8
17,13115,40762.7
18,13115,680348.3
19,13115,4778.0
20,13115,7988.3
5,32001,315017.2
14,32001,76.5
26,32001,1128.7
5,31181,2029.5
18,31181,12307.9
20,31181,57087.7
21,31181,1374.8
17,17067,710.4
18,17067,690508.1
19,17067,236.8
20,17067,27232.0
21,17067,30310.4
20,46067,1141.9
5,41013,2370894.7
6,41013,138475.1
7,41013,3244812.3
9,41013,210070.3
10,41013,314.4
12,41013,392.9
14,41013,235.8
22,41013,471.5
1,50011,156440.9
2,50011,18132.6
17,50011,1500.6
18,50011,7378.1
20,50011,64152.0
21,50011,2065870.6
22,50011,16256.9
1,26103,664091.9
2,26103,2466774.1
18,26103,39995.6
20,26103,30947.8
21,26103,4289813.9
22,26103,836823.7
4,37057,211203.4
17,37057,121121.6
18,37057,2227872.1
19,37057,396.3
20,37057,1320.8
18,17025,245092.4
19,17025,432.1
20,17025,56385.3
21,17025,3132.5
18,29103,199107.6
20,29103,57126.1
21,29103,1228.5
5,29117,21086.2
17,29117,7306.2
18,29117,201890.6
20,29117,73154.1
21,29117,4346.7
1,42117,14417.4
16,42117,1221.8
17,42117,122.2
18,42117,332699.7
20,42117,44718.4
21,42117,3982255.4
22,42117,4154.2
18,31043,30617.7
20,31043,3300.1
21,31043,23742.5
1,26089,208035.7
2,26089,79946.0
18,26089,377.1
20,26089,628.5
22,26089,881543.4
4,51181,653950.2
17,51181,64674.8
18,51181,437730.6
19,51181,69378.4
20,51181,19843.4
4,48391,207.8
17,48391,26.0
18,48391,26.0
19,48391,337.7
20,48391,623.5
28,48391,52.0
1,39017,1088.3
5,39017,1780.8
17,39017,5639.1
18,39017,136427.7
20,39017,21666.2
21,39017,21567.2
22,39017,98.9
3,13273,49663.2
4,13273,110660.5
17,13273,127905.5
18,13273,50211.6
19,13273,173059.3
4,13063,49221.0
17,13063,52036.7
18,13063,97816.4
19,13063,8342.6
20,13063,6361.2
5,56013,171078.9
6,56013,484793.4
9,56013,1829080.6
10,56013,1330232.8
14,56013,1655575.6
20,56013,2007.8
22,56013,83406.2
26,56013,418.3
5,18115,590.1
17,18115,15833.2
18,18115,123027.0
20,18115,4327.1
21,18115,15538.2
3,13073,9732.2
4,13073,861483.3
17,13073,18383.1
18,13073,55509.8
19,13073,57402.2
20,13073,2342.9
5,08115,16484.0
7,08115,901.5
20,08115,18866.4
7,30065,251876.0
20,30065,728.2
4,42043,148.8
5,42043,148.8
17,42043,595.1
18,42043,1374366.2
20,42043,595.1
21,42043,22464.7
22,42043,1487.7
17,46101,157.4
20,46101,393.6
21,46101,393.6
4,54079,1663.8
17,54079,1351.9
18,54079,1277084.6
20,54079,623.9
21,54079,727.9
17,34037,265.3
18,34037,1568762.5
20,34037,164078.7
21,34037,174557.5
5,20039,5544.5
7,20039,104.6
20,20039,12396.6
21,20039,104.6
4,18123,387.1
5,18123,129.0
17,18123,42070.0
18,18123,1110466.3
19,18123,5291.0
20,18123,31100.8
21,18123,167376.5
4,28145,273884.6
5,28145,588.5
17,28145,86037.7
18,28145,660877.6
19,28145,63086.4
20,28145,2589.4
5,31015,35992.2
7,31015,17405.0
17,31015,4334.8
18,31015,459.8
20,31015,9326.4
1,27095,3615.0
2,27095,34084.3
18,27095,119553.1
20,27095,186947.0
21,27095,291351.6
22,27095,275772.7
18,38099,11231.6
20,38099,557.6
21,38099,9080.9
22,38099,7965.7
4,39115,5008.1
17,39115,306.6
18,39115,1191427.0
20,39115,2146.3
21,39115,50388.1
22,39115,1022.1
1,39133,1791.4
18,39133,312292.4
20,39133,4776.9
21,39133,313287.6
22,39133,298.6
5,56041,29384.0
6,56041,10674.6
7,56041,1205.2
9,56041,68581.7
10,56041,176648.2
14,56041,631.3
20,56041,344.3
22,56041,122184.5
24,56041,8666.0
5,32013,152622.1
6,32013,2460.9
7,32013,11910.5
9,32013,787.5
14,32013,1968.7
15,32013,1279.6
22,32013,76778.6
26,32013,23722.6
5,08017,11822.6
6,41005,16514737.4
8,41005,913.6
9,41005,1806818.1
10,41005,36544.4
11,41005,560348.1
14,41005,913.6
20,41005,5177.1
22,41005,5786.2
23,41005,23753.9
24,41005,609.1
26,41005,304.5
4,05113,1375580.2
5,05113,602.4
17,05113,323866.7
18,05113,947104.3
20,05113,803.1
3,13193,17177.9
4,13193,261500.1
17,13193,151759.9
18,13193,98508.5
19,13193,204813.1
20,13193,3832.0
18,18007,6861.5
20,18007,457.4
21,18007,152.5
